,RF_AUC,RF_Prec,RF_Rec,SVM10_26_AUC,SVM10_26_Prec,SVM10_26_Rec,SVM40_10_AUC,SVM40_10_Prec,SVM40_10_Rec,iter
0,[-0.39619377],[-0.21160714],[-0.26470588],[-0.42387543],[-0.18303571],[-0.38235294],[-0.40311419],[-0.46875],[-0.14705882],999
1,[-0.42647059],[-0.12660028],[-0.11764706],[-0.41435986],[-0.03919373],[-0.23529412],[-0.39532872],[-0.31578947],[ 0.08823529],999
2,[-0.58737024],[-0.04418605],[-0.32352941],[-0.54411765],[ 0.0125],[-0.35294118],[-0.55968858],[-0.3],[-0.14705882],999
3,[-0.38581315],[-0.05263158],[-0.05882353],[-0.33044983],[-0.0430622],[-0.17647059],[-0.37716263],[-0.31578947],[ 0.02941176],999
4,[-0.23788927],[-0.0989547],[-0.23529412],[-0.21885813],[-0.08198758],[-0.32352941],[-0.22750865],[-0.34285714],[-0.08823529],999
5,[-0.48183391],[-0.22019078],[-0.29411765],[-0.49913495],[-0.19187675],[-0.38235294],[-0.50086505],[-0.38235294],[-0.05882353],999
6,[-0.46280277],[-0.15625],[-0.32352941],[-0.45242215],[-0.11458333],[-0.44117647],[-0.47145329],[-0.40625],[-0.20588235],999
7,[-0.31401384],[-0.08898944],[-0.20588235],[-0.30190311],[-0.06155951],[-0.26470588],[-0.32785467],[-0.29411765],[ 0.05882353],999
8,[-0.43425606],[-0.08028617],[-0.14705882],[-0.46020761],[-0.06265985],[-0.32352941],[-0.44982699],[-0.32352941],[ 0.],999
9,[-0.34342561],[-0.05128205],[-0.05882353],[-0.2932526],[-0.01880342],[-0.14705882],[-0.31401384],[-0.30769231],[ 0.14705882],999
10,[-0.39359862],[-0.09852941],[-0.23529412],[-0.3866782],[-0.07352941],[-0.29411765],[-0.41089965],[-0.32352941],[-0.11764706],999
11,[-0.35899654],[-0.21092437],[-0.23529412],[-0.33131488],[-0.10962567],[-0.32352941],[-0.39013841],[-0.38235294],[ 0.02941176],999
12,[-0.49913495],[-0.08351648],[-0.17647059],[-0.47491349],[-0.00178571],[-0.26470588],[-0.48875433],[-0.31428571],[ 0.],999
13,[-0.45934256],[-0.14920635],[-0.17647059],[-0.44550173],[-0.0923588],[-0.26470588],[-0.45934256],[-0.37142857],[-0.05882353],999
14,[-0.37110727],[-0.05714286],[-0.05882353],[-0.30709343],[-0.00310559],[-0.23529412],[-0.36937716],[-0.28571429],[ 0.11764706],999
15,[-0.37716263],[-0.125],[-0.14705882],[-0.3650519],[-0.03913043],[-0.17647059],[-0.37716263],[-0.3],[ 0.02941176],999
16,[-0.42560554],[-0.09703947],[-0.23529412],[-0.42387543],[-0.08612805],[-0.29411765],[-0.43252595],[-0.28125],[-0.11764706],999
17,[-0.41435986],[-0.09285714],[-0.20588235],[-0.40916955],[-0.07619048],[-0.29411765],[-0.43685121],[-0.34285714],[ 0.11764706],999
