Iteration,AUC,Precision,Recall,Contrast
<built-in function iter>,-0.3150793650793652,-0.25303643724696356,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3277777777777776,-0.24769585253456228,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.311111111111111,-0.1743589743589744,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.396031746031746,-0.16953316953316955,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.36984126984126986,-0.2571662571662572,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.4174603174603175,-0.34615384615384615,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.26984126984126977,-0.07894736842105265,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.5547619047619047,-0.21578947368421053,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3841269841269841,-0.15714285714285714,0.11428571428571432,Dummy-RF
<built-in function iter>,-0.45079365079365086,-0.21246246246246248,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.3555555555555555,-0.2299421009098428,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.2571428571428571,-0.19404019404019401,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.3714285714285714,-0.20429252782193952,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.4555555555555554,-0.1138519924098671,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.4063492063492063,-0.16714082503556182,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.37063492063492065,-0.2823529411764706,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.35158730158730156,-0.2098214285714286,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.4055555555555556,-0.22436974789915964,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.45158730158730154,-0.12857142857142856,0.0,Dummy-RF
<built-in function iter>,-0.4238095238095238,-0.19077901430842603,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.36269841269841274,-0.23529411764705865,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.3396825396825397,-0.13984674329501912,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.16031746031746041,-0.17532467532467533,0.0,Dummy-RF
<built-in function iter>,-0.3674603174603175,-0.2805194805194806,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.2706349206349207,-0.2459893048128342,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.27063492063492056,-0.20738636363636365,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.32460317460317467,-0.14912280701754388,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.3968253968253968,-0.11538461538461531,-0.05714285714285705,Dummy-RF
<built-in function iter>,-0.35396825396825404,-0.2459893048128342,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.40476190476190455,-0.28525641025641024,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.23492063492063475,-0.1950464396284829,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.23730158730158724,-0.21307300509337856,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.4738095238095239,-0.06725146198830412,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.3714285714285714,-0.13808139534883723,0.08571428571428574,Dummy-RF
<built-in function iter>,-0.42698412698412697,-0.20118845500848892,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.4293650793650792,-0.216733870967742,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.3158730158730159,-0.09411764705882353,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.5134920634920634,-0.2108374384236451,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.17460317460317454,-0.1435006435006435,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.29047619047619044,-0.06385281385281383,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.3698412698412698,-0.2611111111111112,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.5317460317460317,-0.2398648648648649,-0.34285714285714297,Dummy-RF
<built-in function iter>,-0.38015873015873025,-0.12558139534883728,0.1428571428571429,Dummy-RF
<built-in function iter>,-0.21984126984126973,-0.12348178137651822,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.3753968253968255,-0.17708333333333337,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.4380952380952381,-0.12307692307692308,0.08571428571428574,Dummy-RF
<built-in function iter>,-0.4111111111111112,-0.2571428571428571,-0.2571428571428571,Dummy-RF
<built-in function iter>,-0.29761904761904756,-0.30625,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.48333333333333345,-0.2222222222222222,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.2944444444444443,-0.16223908918406071,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.5031746031746032,-0.15639097744360897,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.41984126984126974,-0.24603174603174593,-0.22857142857142854,Dummy-RF
<built-in function iter>,-0.4103174603174603,-0.20177838577291374,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.37222222222222223,-0.28103448275862075,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.19444444444444442,-0.2275985663082437,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.13809523809523827,-0.14426523297491045,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.4071428571428571,-0.20745920745920743,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3944444444444443,-0.2014260249554367,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.5253968253968255,-0.24509803921568618,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.26111111111111096,-0.22580645161290325,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.3603174603174604,-0.12373737373737381,0.02857142857142847,Dummy-RF
<built-in function iter>,-0.16507936507936516,-0.08175675675675675,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.21111111111111108,-0.12745098039215685,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.3936507936507938,-0.2407407407407406,0.0,Dummy-RF
<built-in function iter>,-0.36428571428571427,-0.19485294117647056,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.403174603174603,-0.16360294117647056,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.21269841269841283,-0.10764119601328914,0.05714285714285705,Dummy-RF
<built-in function iter>,-0.2753968253968254,-0.13269230769230766,-0.17142857142857137,Dummy-RF
<built-in function iter>,-0.3309523809523809,-0.17708333333333337,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.4317460317460317,-0.24572649572649574,0.0,Dummy-RF
<built-in function iter>,-0.3666666666666666,-0.12019230769230771,0.02857142857142858,Dummy-RF
<built-in function iter>,-0.22619047619047616,-0.17222222222222228,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.4444444444444444,-0.22878787878787876,-0.08571428571428574,Dummy-RF
