Iteration,AUC,Precision,Recall,Contrast
<built-in function iter>,-0.4325396825396825,-0.15865384615384615,0.0,Dummy-RF
<built-in function iter>,-0.43333333333333335,-0.14661654135338342,0.08571428571428574,Dummy-RF
<built-in function iter>,-0.21746031746031746,-0.22777777777777786,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3047619047619048,-0.02925809822361547,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.49603174603174616,-0.21241830065359468,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.30714285714285716,-0.22586872586872586,0.0,Dummy-RF
<built-in function iter>,-0.4,-0.14899514899514898,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.3015873015873015,-0.17432950191570862,0.0,Dummy-RF
<built-in function iter>,-0.24444444444444458,-0.18665540540540537,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.26984126984126977,-0.1341269841269842,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.25476190476190497,-0.24583333333333335,-0.2571428571428572,Dummy-RF
<built-in function iter>,-0.169047619047619,-0.09806949806949805,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.4317460317460318,-0.1609848484848485,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.31269841269841264,-0.17500000000000004,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.2753968253968253,-0.18393393393393398,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.3476190476190476,-0.18627450980392157,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.1880952380952382,-0.10396825396825404,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.4087301587301589,-0.09939148073022308,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.27380952380952395,-0.11428571428571432,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.38730158730158726,-0.11308677098150777,-0.1428571428571428,Dummy-RF
<built-in function iter>,-0.4484126984126985,-0.24024024024024015,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.4357142857142857,-0.10303030303030303,-0.02857142857142858,Dummy-RF
<built-in function iter>,-0.29047619047619044,-0.16253869969040247,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3658730158730159,-0.19999999999999996,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.36984126984126986,-0.2723214285714286,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.31666666666666676,-0.2593582887700535,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.303968253968254,-0.19444444444444453,-0.19999999999999996,Dummy-RF
<built-in function iter>,-0.4444444444444445,-0.28494623655913986,-0.3714285714285714,Dummy-RF
<built-in function iter>,-0.32380952380952377,-0.26944971537001894,-0.3142857142857143,Dummy-RF
<built-in function iter>,-0.3825396825396825,-0.23755656108597278,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.13968253968253974,-0.20833333333333337,-0.2857142857142857,Dummy-RF
<built-in function iter>,-0.36269841269841274,-0.12903225806451613,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.40079365079365076,-0.1267942583732058,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.1960317460317459,-0.11764705882352933,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.17936507936507928,-0.2212121212121212,-0.2571428571428572,Dummy-RF
<built-in function iter>,-0.32380952380952377,-0.16807432432432434,-0.05714285714285716,Dummy-RF
<built-in function iter>,-0.26587301587301576,-0.08333333333333337,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.3031746031746032,-0.25616698292220097,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.1507936507936508,-0.07558139534883723,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.13095238095238093,-0.08404074702886244,0.05714285714285716,Dummy-RF
<built-in function iter>,-0.3031746031746032,-0.06277056277056281,-0.17142857142857149,Dummy-RF
<built-in function iter>,-0.29761904761904756,-0.2201907790143084,-0.2857142857142857,Dummy-RF
<built-in function iter>,-0.27539682539682553,-0.1908783783783784,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.3230158730158732,-0.18486590038314177,-0.3142857142857144,Dummy-RF
<built-in function iter>,-0.2579365079365079,-0.19983619983619982,-0.11428571428571432,Dummy-RF
<built-in function iter>,-0.23253968253968238,-0.25,-0.22857142857142865,Dummy-RF
<built-in function iter>,-0.4198412698412698,-0.05714285714285705,-0.05714285714285705,Dummy-RF
<built-in function iter>,-0.37380952380952387,-0.1905901116427432,-0.08571428571428574,Dummy-RF
<built-in function iter>,-0.40952380952380973,-0.17965023847376782,-0.11428571428571421,Dummy-RF
<built-in function iter>,-0.27380952380952395,-0.13500597371565115,-0.20000000000000007,Dummy-RF
<built-in function iter>,-0.3928571428571429,-0.13157894736842102,-0.1428571428571429,Dummy-RF
<built-in function iter>,-0.4246031746031746,-0.156964656964657,-0.3714285714285714,Dummy-RF
<built-in function iter>,-0.37619047619047624,-0.23529411764705876,-0.22857142857142865,Dummy-RF
