,level_0,index,AUC,Classifier,Iteration,Precision,Recall
0,0,0,0.8650793650793651,SVC_fs_W40_10,0,0.875,0.4
1,1,1,0.8507936507936507,SVC_fs_W10_26,0,0.7906976744186046,0.9714285714285714
2,2,2,0.8111111111111111,RF_w,0,0.875,0.6
3,3,3,0.5373015873015873,Dummy,0,0.6896551724137931,0.5714285714285714
4,4,4,0.85,SVC_fs_W40_10,1,0.8888888888888888,0.45714285714285713
5,5,5,0.8095238095238095,SVC_fs_W10_26,1,0.7555555555555555,0.9714285714285714
6,6,6,0.8492063492063492,RF_w,1,0.8846153846153846,0.6571428571428571
7,7,7,0.5238095238095238,Dummy,1,0.625,0.5714285714285714
8,8,8,0.8484126984126984,SVC_fs_W40_10,2,0.9444444444444444,0.4857142857142857
9,9,9,0.8063492063492064,SVC_fs_W10_26,2,0.7727272727272727,0.9714285714285714
10,10,10,0.8857142857142857,RF_w,2,0.8666666666666667,0.7428571428571429
11,11,11,0.6222222222222222,Dummy,2,0.6764705882352942,0.6571428571428571
12,12,12,0.9095238095238094,SVC_fs_W40_10,3,0.9411764705882353,0.45714285714285713
13,13,13,0.8603174603174603,SVC_fs_W10_26,3,0.7291666666666666,1.0
14,14,14,0.8571428571428572,RF_w,3,0.8,0.6857142857142857
15,15,15,0.4380952380952381,Dummy,3,0.7222222222222222,0.7428571428571429
16,16,16,0.919047619047619,SVC_fs_W40_10,4,0.92,0.6571428571428571
17,17,17,0.9063492063492063,SVC_fs_W10_26,4,0.7954545454545454,1.0
18,18,18,0.8936507936507936,RF_w,4,0.875,0.8
19,19,19,0.4523809523809524,Dummy,4,0.6,0.6
20,20,20,0.888888888888889,SVC_fs_W40_10,5,1.0,0.4
21,21,21,0.8857142857142858,SVC_fs_W10_26,5,0.8888888888888888,0.9142857142857143
22,22,22,0.8746031746031745,RF_w,5,0.96,0.6857142857142857
23,23,23,0.3976190476190476,Dummy,5,0.6216216216216216,0.6571428571428571
24,24,24,0.7619047619047619,SVC_fs_W40_10,6,0.7916666666666666,0.5428571428571428
25,25,25,0.7412698412698412,SVC_fs_W10_26,6,0.7446808510638298,1.0
26,26,26,0.7920634920634921,RF_w,6,0.7631578947368421,0.8285714285714286
