,Iteration,Recall,Precision,AUC,Classifier
0,<built-in function iter>,0.8285714285714286,0.7073170731707317,0.7174603174603176,SVC_rec
1,<built-in function iter>,0.9142857142857143,0.6808510638297872,0.7063492063492064,SVC_rec
2,<built-in function iter>,0.9142857142857143,0.6666666666666666,0.7206349206349206,SVC_rec
3,<built-in function iter>,0.9142857142857143,0.6808510638297872,0.7111111111111111,SVC_rec
4,<built-in function iter>,0.9714285714285714,0.723404255319149,0.8285714285714285,SVC_rec
5,<built-in function iter>,0.8857142857142857,0.6888888888888889,0.7952380952380953,SVC_rec
6,<built-in function iter>,0.9142857142857143,0.6666666666666666,0.6650793650793652,SVC_rec
7,<built-in function iter>,0.9428571428571428,0.7021276595744681,0.8285714285714286,SVC_rec
8,<built-in function iter>,0.9428571428571428,0.6875,0.6126984126984127,SVC_rec
9,<built-in function iter>,0.8857142857142857,0.6739130434782609,0.7428571428571429,SVC_rec
10,<built-in function iter>,0.9142857142857143,0.64,0.6761904761904762,SVC_rec
11,<built-in function iter>,0.9142857142857143,0.6808510638297872,0.6063492063492063,SVC_rec
12,<built-in function iter>,0.8857142857142857,0.7045454545454546,0.711111111111111,SVC_rec
13,<built-in function iter>,0.8285714285714286,0.6590909090909091,0.6492063492063492,SVC_rec
14,<built-in function iter>,0.9428571428571428,0.673469387755102,0.7142857142857142,SVC_rec
15,<built-in function iter>,0.9714285714285714,0.68,0.7825396825396825,SVC_rec
16,<built-in function iter>,0.8571428571428571,0.625,0.6031746031746031,SVC_rec
17,<built-in function iter>,0.9428571428571428,0.7021276595744681,0.7206349206349206,SVC_rec
18,<built-in function iter>,0.8571428571428571,0.6382978723404256,0.5523809523809524,SVC_rec
19,<built-in function iter>,0.9142857142857143,0.6530612244897959,0.6857142857142857,SVC_rec
20,<built-in function iter>,1.0,0.7142857142857143,0.8158730158730159,SVC_rec
21,<built-in function iter>,0.8285714285714286,0.6744186046511628,0.626984126984127,SVC_rec
22,<built-in function iter>,0.8857142857142857,0.6595744680851063,0.6047619047619048,SVC_rec
23,<built-in function iter>,0.9714285714285714,0.723404255319149,0.8111111111111111,SVC_rec
24,<built-in function iter>,0.9428571428571428,0.7021276595744681,0.7253968253968253,SVC_rec
25,<built-in function iter>,0.8857142857142857,0.7045454545454546,0.7333333333333333,SVC_rec
26,<built-in function iter>,0.9428571428571428,0.7021276595744681,0.7634920634920636,SVC_rec
27,<built-in function iter>,0.9428571428571428,0.6875,0.7333333333333334,SVC_rec
28,<built-in function iter>,0.8857142857142857,0.6888888888888889,0.765079365079365,SVC_rec
29,<built-in function iter>,0.9142857142857143,0.6808510638297872,0.7444444444444444,SVC_rec
30,<built-in function iter>,0.9142857142857143,0.7111111111111111,0.6873015873015873,SVC_rec
31,<built-in function iter>,0.8,0.6829268292682927,0.7492063492063492,SVC_rec
32,<built-in function iter>,0.8571428571428571,0.6666666666666666,0.611111111111111,SVC_rec
