,Iteration,Classifier,AUC,Precision,Recall
0,0,SVC_rec,0.8238095238095239,0.68,0.9714285714285714
1,0,SVC_prec,0.8571428571428571,0.9130434782608695,0.6
2,0,RF,0.8301587301587301,0.8888888888888888,0.6857142857142857
3,0,Dummy,0.5087301587301587,0.696969696969697,0.6571428571428571
4,1,SVC_rec,0.7825396825396824,0.6666666666666666,0.9714285714285714
5,1,SVC_prec,0.8476190476190476,0.9166666666666666,0.6285714285714286
6,1,RF,0.8396825396825397,0.896551724137931,0.7428571428571429
7,1,Dummy,0.48174603174603176,0.696969696969697,0.6571428571428571
8,2,SVC_rec,0.7873015873015873,0.6666666666666666,0.9714285714285714
9,2,SVC_prec,0.8317460317460317,0.9545454545454546,0.6
10,2,RF,0.8650793650793651,0.8666666666666667,0.7428571428571429
11,2,Dummy,0.46587301587301577,0.6388888888888888,0.6571428571428571
12,3,SVC_rec,0.8222222222222222,0.6730769230769231,1.0
13,3,SVC_prec,0.9174603174603175,0.9629629629629629,0.7428571428571429
14,3,RF,0.8507936507936508,0.8285714285714286,0.8285714285714286
15,3,Dummy,0.5246031746031746,0.6857142857142857,0.6857142857142857
16,4,SVC_rec,0.8857142857142858,0.7,1.0
17,4,SVC_prec,0.8984126984126984,0.9285714285714286,0.7428571428571429
18,4,RF,0.8920634920634921,0.8787878787878788,0.8285714285714286
19,4,Dummy,0.4103174603174603,0.631578947368421,0.6857142857142857
20,5,SVC_rec,0.8587301587301587,0.6530612244897959,0.9142857142857143
21,5,SVC_prec,0.8698412698412699,1.0,0.6285714285714286
22,5,RF,0.8666666666666666,0.9629629629629629,0.7428571428571429
23,5,Dummy,0.49603174603174605,0.5945945945945946,0.6285714285714286
24,6,SVC_rec,0.7222222222222222,0.660377358490566,1.0
25,6,SVC_prec,0.7841269841269841,0.8387096774193549,0.7428571428571429
26,6,RF,0.7825396825396825,0.7631578947368421,0.8285714285714286
27,6,Dummy,0.48095238095238096,0.6571428571428571,0.6571428571428571
28,7,SVC_rec,0.9063492063492063,0.6862745098039216,1.0
29,7,SVC_prec,0.8984126984126984,1.0,0.6571428571428571
30,7,RF,0.9095238095238095,0.896551724137931,0.7428571428571429
31,7,Dummy,0.5103174603174603,0.6944444444444444,0.7142857142857143
32,8,SVC_rec,0.7412698412698413,0.6666666666666666,0.9714285714285714
33,8,SVC_prec,0.7952380952380953,0.9090909090909091,0.5714285714285714
34,8,RF,0.761904761904762,0.8620689655172413,0.7142857142857143
35,8,Dummy,0.5365079365079365,0.6060606060606061,0.5714285714285714
